English;Synonyms;Latin;Synonyma;Français;Synonymes;Español;;Portugues;
Constrictor;;Constrictor;;Constricteur;;Constrictor;;Constritora;
Corniculatus;;Corniculatus;;Corniculé;;Corniculado;;Cornualha;
Horn (Body Part);;Cornu (Pars Corporis);;Corne (Partie du corps);;Cuerno (Parte del cuerpo);;Chifre (Parte do Corpo);
Hip;;Coxa;;Hanche;;Cadera;;Quadris;
Thick;;Crassus;;Épais;;Craso;;Espesso;
Cribrosus;;Cribrosus;;Criblé;;Cribroso;;Peneira;
Cricoideus;;Cricoideus;;Cricoïde;;Cricoideo;;Cricoide;
Crest;;Crista;;Crête;;Cresta;;Crista;
Crossed;;Cruciatus;;Croisé;;Tortura;;Tortura;
Deciduus;;Deciduus;;Décidual;;Deciduo;;Decíduo;
Deferent;;Deferens;;Déférent;;Deferente;;Carregando;
Delta;;Delta;;Delta;;Delta;;Delta;
Denticulatus;;Denticulatus;;Denticulé;;Denticulado;;Dentado;
Depressor;;Depressor;;Dépresseur;;Depresor;;Depressor;
Descending;;Descendens;;Descendant;;Descendente;;Descendente;
Digastric;;Digastricus;;Digastrique;;Digástrico;;Digástrico;
Digital;;Digitalis;;Digital;;Digital;;Digital;
Dilator muscle;;Dilatator;%Musculus dilatator;Dilatateur;;Dilatador;;Dilatador;
Diverticulum;;Diverticulum;;Diverticule;;Divertículo;;Divertículo;
Ductus;;Ductus;;Conduit;;Conducto;;Liderança;
Hard;;Durus;;Dur;;Duro;;Duro;
Efferens;;Efferens;;Efférent;;Eferente;;Trazendo;
Ejaculatory;;Ejaculatorius;;Éjaculateur;;Eyaculatorio;;Ejaculatório;
Elastic;;Elasticus;;Élastique;;Elástico;;Elástico;
Ellipsoid;;Ellipsoideus;;Ellipsoïde;;Elipsoide;;Elipsoide;
Embryo;;Embryo;;Embryon;;Embrión;;Embrião;
Eminence;;Eminentia;;Éminence;;Eminencia;;Eminência;
Emissary;;Emissarius;;Émissaire;;Emisario;;Emissário;
Endothelium;;Endothelium;;Endothélium;;Endotelio;;Endotélio;
Epigastrium;;Epigastrium;;Épigastre;;Epigastrio;;Epigástrio;
Equinus;;Equinus;;Équin;;Equino;;Cavalo;
Erector;;Erector;;Érecteur;;Erector;;Erector;
Excavation;;Excavatio;;Dépression;;Excavación;;Escavação;
Extensor;;Extensorius;;Extenseur;;Extensor;;Extensor;
Extremity;;Extremitas;;Extrémité;;Extremidad;;Extremo;
Fel;;Fel;;Fel;;Fel;;Pulga;
Fœtus;;Fetus;;Fœtus;;Feto;;Feto;
Fiber;;Fibra;;Fibre;;Fibra;;Fibra;
Fibular;%Peroneal;Fibularis;%Peroneus;Fibulaire;%Péronier;Fibular;;Fíbular;
Filamentum;;Filamentum;;Filament;;Filamento;;Filamento;
Fissure;;Fissura;;Fissure;;Fisura;;Rachadura;
Yellow;;Flavus;;Jaune;;Amarillo;;Amarelo;
Flexor;;Flexorius;;Fléchisseur;;Flexor;;Flexor;
Curvature;;Flexura;;Courbure;;Curvatura;;Dobrar;
Foramen;;Foramen;;Foramen;;Foramen;;Buraco;
Fossa;;Fossa;;Fosse;;Fosa;;Fosso;
Fovea;;Fovea;;Fossette;%Fovéa;Fóvea;;Poço;
Frontal;;Frontalis;;Frontal;;Frontal;;Frontal;
Bottom;;Fundus;;Fond;;Fondo;;Fazenda;
Fuscus;;Fuscus;;Fuscus;;Fuscus;;Escuro;
Fusiformis;;Fusiformis;;Fusiforme;;Fusiforme;;Fusiforme;
Gelatinous;;Gelatinosus;;Gélatineux;;Gelatinoso;;Gelatinoso;
Genesis;;Genesis;;Genèse;;Génesis;;Gênese;
Genital;;Genitalis;;Génital;;Genital;;Genital;
Globus;;Globus;;Globe;;Globo;;Globo;
Glomerulum;;Glomerulum;;Glomérule;;Glomérulo;;Glomérulo;
Gluteus;;Gluteus;;Fessier;;Glúteo;;Nádega;
Gracilis;;Gracilis;;Gracile;;Grácil;;Delgado;
Granulation;;Granulatio;;Granulation;;Granulación;;Granulação;
Gray;;Griseus;;Gris;;Gris;;Cinza;
Gyrus;;Gyrus;;Gyrus;;Giro;;Giro;
Hamatus;;Hamatus;;Hamatus;;Hamatus;;Hamath;
Hyalinus;;Hyalinus;;Hyalin;;Hialino;;Hialurônico;
Hyoid;;Hyoideus;;Hyoïde;;Hioideo;;Osso hioide;
Hypogastrum;;Hypogastrium;;Hypogastre;;Hipogastrio;;Região hipogástrica;
Hypogloss;;Hypoglossus;;Hypoglosse;;Hipogloso;;Hipoglosso;
Ilia, Ilium;;Ilia, Ilium;;Ilia, Ilion;;Ilia, Ilión;;Ilia, Ílio;
Iliacus;;Iliacus;;Iliaque;;Ilíaco;;Iliaco;
Odd;;Impar;;Impair;;Impar;;Chance;
Impression;;Impressio;;Impression;;Impresión;;Impressão;
Imus;;Imus;;Imus;;Imus;;Nós vamos.;
Notch;;Incisura;;Incisure;;Incisura;;Entalhe;
Incision;;Incisus;;Incision;;Incisión;;Incisão;
Infundibulum;;Infundibulum;;Infundibulum;;Infundíbulo;;Funil;
Interstitium;;Interstitium;;Interstitiel;;Intersticial;;Interstício;
Intimate;;Intima;;Intime;;ÍNtimo;;ÍNtimo;
Entrance;;Introitus;;Entrée;;Entrada;;Entrada;
Sciatic;;Ischiadicus;;Ischiatique;;Isquiático;;Isquiático;
Ischium;%Ischial bone;Ischium;;Ischion;;Isquion;;ÍSquio;
Isthmus;;Isthmus;;Isthme;;Istmo;;Istmo;
Lip;;Labium;;Lèvre;;Labio;;Lábio;
Milk;;Lac, Lactis;;Lait;;Leche;;Leite, leite;
Lacer;;Lacer;;Déchiré;;Desgarrado;;Rasgado;
Tears;;Lacrima;;Lacrymal;;Lágrimas;;Lágrimas;
Lacuna;;Lacuna;;Lacune;;Lacuna;;Brecha;
Blade;;Lamina;;Lame;;Lámina;;Pratos;
Latissimus;;Latissimus;;Latissimus;;Latissimus;;Muito amplo;
Levator;;Levator;;Élévateur;;Elevador;;Elevador;
Free;;Liber;;Libre;;Libre;;Livro;
Ligament;;Ligamentum;;Ligamentaire;;Ligamento;;Ligamento;
Limbo;;Limbus;;Limbe;;Limbo;;Limbo;
Limiting;;Limitans;;Limitant;;Limitando;;Limitar;
Linea;;Linea;;Ligne;;Línea;;Linha;
Longus;;Longus;;Long;;Largo;;Longo;
Lucidus;;Lucidus;;Lucidus;;Lucidus;;Lúcido;
Lumbrical;;Lumbricus;;Lombrical;;Lumbrical;;Minhoca;
Lunatus;;Lunatus;;Lunatus;;Lunatus;;Lunático;
Luteus;;Luteus;;Lutéus;;Lúteo;;Amarelo;
Lymphonodus;;Lymphonodus;;Lymphonoeud;%Noeud lymphatique;Linfonodo;;Linfático;
Magnus;;Magnus;;Grand;;Magnus;;ÓTimo;
Major;;Major;;Majeur;;Mayor;;Principal;
Mamilla;;Mamilla;;Mamelle;%Mammelle;Mamilla;;Mamilo;
Margo;;Margo;;Margo;;Margen;;Margo;
Masticatus;;Masticatus;;Masticateur;;Masticador;;Mastigado;
Mastoideus;;Mastoideus;;Mastoïdien;;Mastoideo;;Mastóide;
Mother;;Mater;;Mère;;Madre;;Mãe;
Matrix;;Matrix;;Matrice;;Matriz;;Matriz;
Mesothelium;;Mesothelium;;Mésothélium;;Mesotelio;;Mesotélio;
Metapodium;;Metapodium;;Métapode;;Metapodio;;Metapódio;
Meatus;;Meatus;;Méat;;Meato;;Meato;
Minor;;Minor;;Mineur;;Menor;;Menor;
Mitra;;Mitra;;Mitra;;Mitra;;Mitra;
Mola;;Mola;;Mola;;Mola;;Mó;
Molecular;;Molecularis;;Moléculaire;;Molecular;;Molecular;
Soft;;Mollis;;Mou, tendre;;Suave;;Macio;
Motor;;Motor;;Moteur;;Motor;;Motor;
Mucosus;;Mucosus;;Muqueux;;Mucoso;;Mucoso;
Multifidus;;Multifidus;;Multifide;;Multífido;;Multirreligioso;
Navicula;;Navicula;;Naviculaire;;Navicular;;Barco pequeno;
Nephros;;Nephros;;Nephros;;Nefrón;;Rim;
Neuron;;Neuron;;Neurone;;Neurona;;Neurônio;
Black;;Niger;;Noir;;Negro;;Preto;
Name;;Nomen;;Nom;;Nombre;;Nome;
Nucleolus;;Nucleolus;;Nucléole;;Nucléolo;;Nucléolo;
Nutrient;;Nutricius;;Nourricier;;Nutriente;;Enfermeira;
Oblique;;Obliquus;;Oblique;;Oblicuo;;Oblíquo;
Obturator;;Obturator;;Obturateur;;Obturador;;Selante;
Obtuse;;Obtusus;;Obtus;;Obtuso;;Cego;
Occipital;;Occipitalis;;Occipital;;Occipital;;Occipital;
Olfactory;;Olfactorius;;Olfactif;;Olfatorio;;Olfativo;
Ophthalmic;;Ophthalmicus;;Ophtalmique;;Oftálmico;;Oftálmico;
Orbicularis;;Orbicularis;;Orbiculaire;;Orbicular;;Orbicular;
Organum;;Organum;;Organique;;Órgano;;ÓRgão;
Bone;;Os;;Os;;Hueso;;Boca;
Ostium;;Ostium;;Ostium;;Ostium;;Porta;
Oticus;;Oticus;;Otique;;Ótico;;ÓTico;
Egg;;Ovum;;Oeuf ;;Huevo;;Ovo;
Pale;;Pallidus;;Pallidus;;Pálido;;Pálido;
Pampiniformis;;Pampiniformis;;Pampiniforme;;Pampiniforme;;Pampiniforme;
Nipple;;Papilla mammaria;;Mamelon;;Papila mamaria;;Mamilo mamário;
Paraganglion;;Paraganglion;;Paraganglion;;Paraganglio;;Paragânglio;
Parasympathicus;;Parasympathicus;;Parasympathique;;Parasimpático;;Parassimpático;
Parotis;;Parotis;;Parotide;;Parótida;;Glândula parótida;
Part;;Pars;;Partie;;Parte;;Papel;
Small;;Parvus;;Petit;;Pequeño;;Pequeno;
Pedal;;Pedalis;;Pédale;;Pedal;;Pedal;
Perforated;;Perforatus;;Perforé;;Perforado;;Perfurado;
Periphery;;Peripheria;;Périphérie;;Periferia;;Periferia;
Permanent;;Permanens;;Permanent;;Permanente;;Permanente;
Perpendicular;;Perpendicularis;;Perpendiculaire;;Perpendicular;;Perpendicular;
Peroneus;;Peroneus;;Péronée;;Peroneo;;Peroneus;
Petra;;Petra;;Pétra;;Petra;;Pedra;
Phallus;;Phallus;;Phallus;;Falo;;Falo;
Pigment;;Pigmentum;;Pigment;;Pigmento;;Pigmento;
Pinea;;Pinea;;Pinée;;Pinea;;Pinheiro;
Piriformis;;Piriformis;;Piriforme;;Piriforme;;Em forma de pera;
Pisiformis;;Pisiformis;;Pisiforme;;Pisiforme;;Em forma de ervilha;
Pituitary;;Pituita;;Pituitaire;;Pituitario;;Saliva;
Planus;;Planus;;Plan;;Plano;;Plano;
Pneumatic;;Pneumaticus;;Pneumatique;;Neumático;;Pneumático;
Gate;;Porta;;Porte;;Puerta;;Portão;
First;;Primus;;Première;;Primero;;Primeiro;
Prisma;;Prisma;;Prisme;;Prisma;;Prisma;
Process;;Processus;;Processus;;Procesador;;Processo;
Pronator;;Pronator;;Pronateur;;Pronador;;Pronador;
Proper;;Proprius;;Propre;;Correcto;;Mais precisamente;
Pterygoid;;Pterygoideus;;Ptérygoïdien;;Músculo pterigoideo;;Pterigoide;
Pubic hairs;;Pubes;;Poils pubiens;;Pelos púbicos;;Pelos pubianos;
Ashamed;;Pudendus;;Honteux;;Avergonzado;;Vergonhoso;
Pulposus;;Pulposus;;Pulpeux;;Pulposo;;Polpa;
Pyramid;;Pyramis;;Pyramide;;Pirámide;;Pirâmide;
Square;;Quadratus;;Carré;;Cuadrado;;Quadrado;
Quadriceps;;Quadriceps;;Quadriceps;;Cuádriceps;;Quadríceps;
Radial;;Radialis;;Radial;;Radial;;Radial;
Root;;Radix;;Racine;;Raíz;;Raiz;
Ramus;;Ramus;;Branche;;Ramo;;Filial;
Recession;;Recessus;;Récessus;;Recesión;;Retiro;
Upright;;Rectus;;Droit;;Vertical;;Direto;
Recurrens;;Recurrens;;Récurrent;;Recurrente;;Recorrente;
Reflexus;;Reflexus;;Réflexe;;Reflejo;;Reflexão;
Region;;Regio;;Région;;Región;;Região;
Renalis;;Renalis;;Rénal;;Renal;;Renal;
Respiration;;Respiratio;;Respiration;;Respiración;;Respirando;
Net;;Rete;;Réseau ;;Red;;Líquido;
Retinaculum;;Retinaculum tendinis;;Rétinaculum;;Retináculo tendinoso;;Retináculo do tendão;
Retroflexus;;Retroflexus;;Rétroflexe;;Retroflexo;;Retroflexo;
Rhomboideus;;Rhomboideus;;Rhomboïde;;Romboideo;;Rombóide;
Round;;Rotundus;;Rond;;Redondo;;Redondo;
Red;;Ruber;;Rouge;;Rojo;;Vermelho;
Rudimentary;;Rudimentum;;Rudimentaire;;Rudimentario;;Rudimento;
Saccus;;Saccus;;Sac;;Saco;;Bolsa;
Saliva;;Saliva;;Salive;;Saliva;;Saliva;
Scalenus;;Scalenus;;Scalène;;Escaleno;;Escaleno;
Sebaceus;;Sebaceus;;Sébacé;;Sebáceo;;Sebáceo;
Sebum;;Sebum;;Sébum;;Sebo;;Sebo;
Secret;;Secretum;;Secret;;Secreto;;Segredo;
Semen;;Semen;;Sperme [Semen];;Semen;;Semente;
Sense;;Sensus;;Sens;;Sentido;;Senso;
Septum;;Septum;;Septum;;Septo;;Septo;
Serratus;;Serratus;;Dentelé;;Serrato;;Serrilhada;
Serum;;Serum;;Sérum;;Suero;;Sérum;
Sesamoid;;Sesamoideus;;Sésamoïde;;Sesamoideo;;Osso sesamoide;
Sigmoid;;Sigmoideus;;Sigmoïde;;Sigmoideo;;Sigmoide;
Simple;;Simplex;;Simple;;Simple;;Simples;
Sinus;;Sinus;;Sinus;;Senos;;Baía;
Solitary;;Solitarius;;Solitaire;;Solitario;;Solitário;
Space;;Spatium;;Espace;;Espacio;;Espaço;
Sperm;;Sperma;;Sperme;;Esperma;;Esperma;
Sphenoid bone;%Sphenoid%Sphenoidal bone;Os sphenoideum;%Os sphenoidale;Os sphénoïde;;Hueso esfenoide;;Osso esfenoidal;
Spheroid;;Spheroideus [Sphaeroideus];;Sphéroïde;;Esferoideo;;Esferoide [Esferoide];
Sphincter;;Sphincter;;Sphincter;;Esfínter;;Esfíncter;
Spina;;Spina;;Épine;;Espina;;Espinho;
Spiral;;Spiralis;;Spiral;;Espiral;;Espiral;
Splanchnicus;;Splanchnicus;;Splanchnique;;Esplácnico;;Esplâncnico;
Spongeous;;Spongiosus;;Spongieux;;Esponjoso;;Esponjoso;
Squamosus;;Squamosus;;Squameux;;Escamoso;;Escamoso;
Status;;Status;;Statut;;Estatuto;;Status;
Stellatus;;Stellatus;;Stellatus;;Stellatus;;Estrelado;
Stratum;;Stratum;;Strate;;Estrato;;Camada;
Striated;;Striatus;;Strié;;Estriado;;Estriado;
Stylopodium;;Stylopodium;;Stylopode;;Stylopodium;;Stylus;
Style;;Stylus;;Style;;Estilo;;Stylus;
Sweat;;Sudor;;Sueur;;Sudor;;Suor;
Groove;;Sulcus;;Sillon;;Surco;;Sulco;
Supinator;;Supinator;%Musculus supinator;Supinateur;%Muscle supinateur%Court supinateur;Supinador;;Decúbito dorsal;
Supinus;;Supinus;;Supinus;;Supino;;Decúbito dorsal;
Suspended;;Suspensus;;Suspendu;;Suspendido;;Suspenso;
Sympathetic;;Sympathicus;;Sympathique;;Simpático;;Simpático;
Synchondrosis;;Synchondrosis;;Synchondrosis;;Sincondrosis;;Sincondrose;
Tactile;;Tactilis;;Tactile;;Táctil;;Tátil;
Tectorius;;Tectorius;;Tectorius;;Tectorio;;Pintor;
Temple;%Tempora;Tempus;%Tempulum%Tempora;Tempe;;Sien;;Tempo;
Tenia;;Tenia;;Ténia;;Tenia;;Tênia;
Tensor;;Tensor;;Tenseur;;Tensor;;Tensor;
Thin;;Tenuis;;Mince;;Delgado;;Afinar;
Teres;;Teres;;Teres;;Teres;;Suave;
Terminalia;;Terminalis;;Terminal;;Terminal;;Terminal;
Theca;;Theca;;Théque;;Theca;;Caso;
Thorax;%Chest;Thorax;;Thorax;%Torse;Tórax;;Peito;
Tibial;;Tibialis;;Tibial;;Tibial;;Tibial;
Tonsil;;Tonsilla;;Tonsille;;Tonsila;;Amídala;
Tractus;;Tractus;;Tractus;;Tracto;;ÁRea;
Trigonum;;Trigonum;;Trigone;;Trígono;;Triângulo;
Trochanter;;Trochanter;;Trochanter;;Trocánter;;Trocânter;
Trunk;;Truncus;;Tronc;;Tronco;;Porta-malas;
Tube;;Tuba;;Tube;;Tuba;;Trombeta;
Tuber;;Tuber;;Tubérosité (Tuber);;Tuber;;Tubérculo;
Tuberculum;;Tuberculum;;Tubercule;;Tubérculo;;Tuberculose;
Tuberosity;;Tuberositas;;Tubérosité (Tuberositas);;Tuberosidad;;Tuberculose;
Coat;;Tunica;;Tunique;;Túnica;;Túnica;
Tympanic;;Tympanum;;Tympanique;;Timpánico;;Tambor;
Ulnar;;Ulnaris;;Ulnaire;;Ulnar;;Ulnar;
Uncinatus;;Uncinatus;;Unciné;;Uncinado;;Viciado;
Urine;;Urina;;Urine;;Orina;;Urina;
Tendon sheaths;;Vaginae tendinum;;Gaine tendineuse;;Vaina tendinosa;;Bainhas tendinosas;
Vagal;;Vagus;;Vague;;Vago;;Vagando;
Valva;;Valva;;Valve;;Valva;;Válvula;
Vascular;;Vascularis;;Vasculaire;;Vascular;;Vascular;
Vastus;;Vastus;;Vaste;;Vasto;;Grande;
Veil;;Velum;;Voile;;Velo;;Véu;
Stomach;;Gaster;%Ventriculus;Estomac;;Estómago;;Gaster;
Vesical;;Vesicalis;;Vésical;;Vesical;;Bexiga;
Vestibular;;Vestibularis;;Vestibulaire;;Vestibular;;Vestibular;
Trace;;Vestigium;;Vestigium;;Vestigio;;Rastrear;
Viscera;;Viscus;;Viscère;;Víscera;;Intestinos;
Sight;;Visus;;Vue;;Visión;;Visão;
Yolk;;Vitellus;;Jaune d'œuf;;Vitelo;;Gema;
Vitreus;;Vitreus;;Vitré;;Vítreo;;Vitrificado;
Vocal;;Vocalis;;Vocal;;Vocal;;Vocal;
Vorticosus;;Vorticosus;;Vorticosus;;Vorticoso;;Giratório;
Xiphoid;;Xiphoideus;;Xiphoïde;;Xifoides;;Xifóide;
Zeugopodium;;Zeugopodium;;Zeugopode;;Zeugopodio;;Zeugópode;
Zone;;Zona;;Zone;;Zona;;Zona;
Zygomaticus;;Zygomaticus;;Zygomatique;;Cigomático;;Zigomático;
Parts of body;;Partes corporis;;Parties du corps;;Partes del cuerpo;;Partes do corpo;
Limbs;;Membra;;Membres;;Miembros;;Membros;
Sinciput;;Sinciput;;Sinciput;;Sincipucio;;Sincipu;
Ear;;Auris;%Organum auditus%Organum statoacusticum%Organon auditus%Organon status et auditus%Organum vestibulocochleare;Oreille;;Oreja;;Orelha;
Auricle;%Pinna;Auricula;;Auricule;%Pavillon auriculaire;Aurícula;;Orelha;
Face;;Facies;;Face;;Cara;;Face;
Eye;;Oculus;%Organum visus;Oeil;;Ojo;;Olho;
Upper eyelid;%Superior eyelid;Palpebra superior;;Paupière supérieure;;Párpado superior;;Pálpebra superior;
Lower eyelid;%Inferior eyelid;Palpebra inferior;;Paupière inférieure;;Párpado inferior;;Pálpebra inferior;
Palpebral fissure;;Rima palpebrarum;;Fente palpébrale;;Fisura palpebral;;Fissura palpebral;
Eyeball;;Bulbus oculi;;Bulbe oculaire;%Globe oculaire;Glóbo ocular;;Globo ocular;
Infrapalpebral sulcus;;Sulcus infrapalpebralis;%Sulcus palpebromalaris;Sillon infrapalpébral;;Surco infrapalpebral;;Sulco infrapalpebral;
Nose;;Nasus;;Nez;;Nariz;;Nariz;
Ala of nose;;Ala nasi;;Aile du nez;;Ala de la nariz;;Asa do nariz;
Nostril;;Naris;%Apertura nasi externa%Anterior nasal aperture;Narine;;Narinas ;;Narinas;
Nasal plane;;Planum nasale;;Plan nasal;;Plano nasal;;Plano nasal;
Nasolabial plane;;Planum nasolabiale;;Plan nasolabial;;Plano nasolabial;;Plano nasolabial;
