NAVID;Français
391;Parties du corps
392;Membres
393;Sinciput
394;Oreille
395;Auricule
396;Face
397;Oeil
398;Paupière supérieure
399;Paupière inférieure
400;Fente palpébrale
401;Bulbe oculaire
402;Sillon infrapalpébral
403;Nez
404;Aile du nez
405;Narine
406;Plan nasal
407;Plan nasolabial
408;Plan rostral
409;Lèvre supérieure
410;Lèvre inférieure
411;Fente orale
412;Cavité orale
413;Langue
414;Joue
415;Menton
416;Sillon mentolabial
417;Cou
419;Nuque
420;Crinière
422;Pharynx (Partie du corps)
423;Dos
424;Axe vertébral [Colonne vertébrale]
424;Os de l'axe vertébral
425;Lombes
426;Cage thoracique
427;Mamelle thoracique
428;Abdomen
429;Cavité abdominale
430;Fosse épigastrique
431;Ombilic
432;Flanc
433;Pli latéral
434;Pli inguinal
435;Mamelle abdominale
436;Mamelle inguinale
437;Pis (Partie du corps)
439;Fesses
440;Crena ani
442;Vulve
443;Racine de la queue
444;Membre thoracique
445;Aisselle
446;Pli axillaire
447;Bras
448;Face crâniale du bras
449;Face caudale du bras
450;Face latérale du bras
451;Face médiale du bras
452;Sillon bicipital latéral
453;Sillon bicipital médial
454;Coude
455;Avant-bras
456;Face crâniale de l'avant-bras
457;Face caudale de l'avant-bras
458;Face latérale de l'avant-bras
459;Face médiale de l'avant-bras
460;Main
461;Dos de la main
462;Paume de la main
463;Poignet
464;Face dorsale du carpe
465;Face palmaire du carpe
466;Face latérale du carpe
467;Face médiale du carpe
468;Coussinet carpien (Partie du corps)
469;Métacarpe
470;Face dorsale du métacarpe
471;Face palmaire du métacarpe
472;Face latérale du métacarpe
473;Face médiale du métacarpe
474;Coussinet métacarpien
475;Ergot métacarpien
476;Doigts de la main
477;Doigt I [pouce]
476;Doigt I (Ergot)
476;Doigt de la main
476;Doigt II de la main
476;Doigt III de la main
476;Doigt IV de la main
476;Doigt V de la main
478;Face dorsale du doigt
479;Face palmaire du doigt
480;Face solaire du doigt
481;Face latérale du doigt
482;Face médiale du doigt
483;Face axiale du doigt
484;Face abaxiale du doigt
485;Paradigitus
486;Para-ungula
487;Sabot
488;Griffe
489;Membre pelvien
490;Cuisse
491;Face crâniale de la cuisse
492;Face caudale de la cuisse
493;Face latérale de la cuisse
494;Face médiale de la cuisse
495;Genou
496;Partie postérieure du genou
497;Jambe
498;Face crâniale de la jambe
499;Face caudale de la jambe
500;Face latérale de la jambe
501;Face médiale de la jambe
502;Mollet
503;Malléole latérale
503;Malléole médiale (Partie du corps)
504;Pied
505;Dos du pied
506;Plante du pied
507;Tarse
508;Face dorsale du tarse
509;Face plantaire du tarse
510;Face latérale du tarse
511;Face médiale du tarse
512;Talon
513;Métatarse
514;Face dorsale du métatarse
515;Face plantaire du métatarse
516;Face latérale du métatarse
517;Face médiale du métatarse
518;Ergot métatarsien
519;Doigts de pied
520;Doigt de pied I [Hallux]
519;Doigt de pied
521;Doigts de pied II-V
521;Doigt de pied II
521;Doigt de pied III
521;Doigts III et IV du pied
521;Doigt de pied IV
521;Doigt de pied V
522;Face plantaire des doigts de pied II-V
523;Paradigitus des doigts de pied II-V
524;(Para-unguicule)
525;Régions du corps
526;Ligne dorsale médiane
527;Ligne ventrale médiane
528;Bord tricipital
529;Plan médian
530;Plans sagittaux
531;Plans transversaux
532;Plans dorsaux
533;Régions de la tête
534;Régions du crâne
535;Région frontale
536;Région pariétale
537;Région occipitale
538;Région temporale
539;Fosse supra-orbitaire
540;Région auriculaire
541;Région cornuale
542;Régions de la face
543;Région nasale
544;Région nasale dorsale
545;Région nasale latérale
546;Région de la narine
547;Région orale
548;Région labiale supérieure
549;Région labiale inférieure
550;Région mentonnière
551;Région orbitaire
552;Région palpébrale supérieure
553;Région palpébrale inférieure
554;Région zygomatique
555;Région infra-orbitaire
556;Région de l'articulation temporomandibulaire
557;Région massétérique
558;Région buccale
559;Région maxillaire
560;Région mandibulaire
561;Région intermandibulaire
562;Région infrahyoïde
563;Régions du cou
564;Bord dorsal du cou
564;Bord ventral du cou
565;Région dorsale du cou
566;Région latérale du cou
567;Région parotidienne
568;Fosse rétromandibulaire
569;Région rétro-auriculaire
570;Région pharyngienne
571;Région brachiocéphalique
572;Sillon jugulaire
573;Fosse jugulaire
574;Région sternocéphalique
575;Région préscapulaire
576;Région ventrale du cou
577;Région laryngée
578;Région trachéale
579;Régions pectorales
580;Région présternale
581;Sillon pectoral médian
582;Sillon pectoral latéral
583;Région sternale
584;Région mammaire thoracique
585;Région scapulaire
586;Région du cartilage scapulaire
587;Région supra-épineuse
588;Région infra-épineuse
589;Région acromiale
590;Région costale
591;Région cardiaque
592;Régions de l'abdomen
593;Région crâniale de l'abdomen
594;Région hypochondrale
595;Région xiphoïdienne
596;Région abdominale moyenne
597;Région abdominale latérale
598;Fosse paralombale
599;Région du pli latéral
600;Région ombilicale
601;Région abdominale caudale
602;Région inguinale
603;Région pubienne
604;Région préputiale
605;Région mammaire abdominale
606;Région mammaire inguinale
607;Région mammaire
608;Régions du dos
609;Région thoracique vertébrale [Région dorsocostale]
611;Région interscapulaire
612;Région lombale
613;Régions pelviennes
614;Région sacrale
615;Région glutéale
616;Région de la tuberosité coxale
617;Région cluniale
618;Région de la tubérosité ischiatique
619;Région de la queue
620;Région de la racine de la queue
621;Région périnéale
622;Région anale
623;Région urogénitale
624;Région scrotale
625;Région supramammaire
626;Régions du membre thoracique
627;Région de l'articulation de l'épaule
628;Région axillaire
629;Fosse axillaire
630;Région du bras
631;Région tricipitale
632;Région du coude
633;Région olécranienne
634;Région de l'avant-bras
634;Région de la main
635;Région carpienne
636;Région métacarpienne
637;Région métacarpophalangienne
638;Région de la phalange proximale (main)
639;Région du compedis (main)
640;Région interphalangienne proximale (main)
641;Région de la phalange moyenne (main)
642;Région coronale (main)
643;Espace interdigital (main)
644;Régions du membre pelvien
645;Régions de l'articulation de la hanche
646;Région trochantérique
647;Région fémorale
648;Région du genou
648;Région crâniale du genou
649;Région patellaire
650;Région latérale du genou
651;Région médiale du genou
652;Région poplitée
653;Région de la jambe
654;Région du tendon calcanéen commun
655;Région du tarse
656;Région calcanéenne
657;Région métatarsienne
658;Région métatarsophalangienne
638;Région de la phalange proximale (pied)
639;Région du compedis (pied)
640;Région interphalangienne proximale (pied)
641;Région de la phalange moyenne (pied)
642;Région coronale (pied)
643;Espace interdigital
659;Ostéologie
659;Type d'os
659;Structure interne de l'os
659;Structure des os longs
659;Moelle osseuse et canaux
660;Système squelettique
661;Périoste
662;Endoste
663;Substance corticale
664;Os compact
665;Os spongieux
666;Partie cartilagineuse de l'os
667;Périchondre
668;Squelette appendiculaire
669;Os long
670;Os court
671;Os plat
672;Os irrégulier
673;Os pneumatisé
674;Os sésamoïde
675;Diaphyse
676;Métaphyse
677;Cartilage physial
678;Ligne physiale
679;Epiphyse
680;Cartilage épiphysaire
681;Cartilage articulaire
682;Centre d'ossification primaire
683;Centre d'ossification secondaire
684;Synostose
685;Apophyse
686;Surface articulaire
687;Canal médullaire
688;Moelle osseuse jaune
689;Moelle osseuse rouge
690;Foramen nourricier
691;Canal nourricier
692;Squelette axial
693;Crâne
694;Cavité crânienne
695;Péricrâne
696;Lame externe de la calvaria
697;Diploe
698;Canaux diploïques
699;Lame interne de la calvaria
700;Sillon du sinus sagittal dorsal
701;Tente osseuse du cervelet
702;Eminence cruciforme
703;Méat temporal
704;Canal du sinus transverse
705;Fossettes granulaires
706;Impressions digitales
707;Sillons veineux
708;Sillons artériels
709;(Os sutural)
710;Calvaria
711;Vertex
712;Front
713;Fosse frontale
714;Protubérance intercornuale
715;Occiput
716;Fosse temporale
717;Arcade zygomatique
718;Fosse infratemporale
718;Base du crâne
719;Base externe du crâne
720;Foramen jugulaire
721;Foramen mastoïdien
722;Fissure sphénopétreuse (Car)
723;Fissure sphénotympanique (Car, Ru)
724;Fissure pétro-occipitale (Car, Ru)
725;Fissure tympano-occipitale (Car, Ru, eq)
726;Canal pétro-occipital
727;Foramen déchiré
728;Base interne du crâne
729;Fosse crânienne rostrale
730;Fosses ethmoïdales
731;Fosse crânienne moyenne
732;Crête sphéno-occipitale
733;Fosse crânienne caudale
734;Clivus
735;Fontanelles
736;Fontanelle frontopariétale
737;Fontanelle sphénoïdale
738;Fontanelle mastoïdienne
693;Face (Ostéologie)
739;Fosse ptérygopalatine
740;Foramen palatin caudal
741;Palais osseux
742;Fissure palatine
743;Canal interincisif
744;Fissure interincisive
745;Impressions rugales
746;Torus palatin
741;Cavité nasale (Ostéologie)
747;Septum nasal osseux
748;Ouverture nasale osseuse
749;Incisure naso-incisive
750;Méat nasal dorsal
751;Méat nasal médial
752;Méat nasal ventral
753;Méat nasal commun
754;Canal nasolacrymal
755;Méat nasopharyngien
756;Choanes
757;Récessus maxillaire
758;Fissure nasomaxillaire
759;Fissure nasolacrymale
760;Orbite
760;Cavité de l'orbite
761;Ouverture de l'orbite
762;Bord de l'orbite
763;Bord supra-orbitaire
764;Bord infra-orbitaire
765;Ligament orbitaire
766;Paroi dorsale de l'orbite
767;Paroi ventrale de l'orbite
768;Paroi latérale de l'orbite
769;Paroi médiale de l'orbite
769;Foramen ethmoïdal (Orbite)
769;Foramens ethmoïdaux (Orbite)
770;Sillon lacrymal
771;Fosse du sac lacrymal
772;Fissure orbitaire
773;Foramen orbitorotundum (or, su, Ru)
774;Os du crâne
775;Os occipital
776;Foramen magnum
777;Tubercule nuchal
778;Partie basilaire de l'os occipital
779;Sillon du sinus pétreux ventral
780;Tubercule pharyngien
781;Tubercule musculaire
782;Impression pontine
783;Impression médullaire
783;Sinus sphénoïdal (Os occipital)
784;Partie latérale de l'os occipital
785;Condyle occipital
786;Processus jugulaire
787;Processus paracondylaire
788;Fosse condylaire dorsale
789;Fosse condylaire ventrale
790;Canal du nerf hypoglosse
791;Canal condylaire
792;Incisure jugulaire
793;Processus intrajugulaire
794;Ecaille de l'os occipital
795;Bord mastoïdien
796;Bord pariétal de l'os occipital
797;Processus interpariétal
798;Protubérance occipitale externe
799;Crête occipitale externe
800;Crête nuchale
801;Ligne nuchale
802;Crête sagittale externe
803;Ligne temporale
804;Protubérance occipitale interne
805;Crête occipitale interne
806;Processus tentoricus (Os occipital)
807;Foramen du sinus sagittal dorsal
808;Impression vermienne
808;Sinus frontal caudal (Os occipital)
808;Sillon du sinus transverse (Os occipital)
809;Os interpariétal
810;Processus tentoricus (Os interpariétal)
811;Crête sagittale externe (Os interpariétal)
812;Ligne temporale (Os interpariétal)
813;Crête sagittale interne
814;Sillon du sinus transverse (Os interpariétal)
814;Sinus frontal caudal (Os interpariétal)
815;Septum des sinus frontaux
816;Os sphénoïde
816;Os basisphénoïde
817;Corps de l'os basisphénoïde
818;Selle turcique
819;Fosse hypophysaire
820;(Canal craniopharyngé)
821;Dos de la selle
822;Processus clinoïde caudal
823;Sillon carotidien
824;Aile du basisphenoïde
825;Face cérébrale du basisphénoïde
826;Fosse piriforme
827;Face temporale de l'os basisphénoïde
828;Face maxillaire de l'os basisphénoïde
829;Face orbitaire de l'os basisphénoïde
830;Crête infratemporale
831;Foramen rond
832;Incisure carotidienne
833;Fosse carotidienne
834;Foramen ovale
835;Incisure ovale
836;Foramen épineux
837;Incisure épineuse
838;Os présphénoïde
839;Aile
853;Epine de l'os sphénoïde
854;Sillon du nerf ophtalmique (Car, eq)
855;Sillon du nerf maxillaire (Car, eq)
856;Sillon des nerfs ophtalmique et maxillaire (su, Ru)
857;Sillon de la trompe auditive
858;Processus ptérygoïde
859;Canal alaire
860;Foramen alaire rostral
861;Foramen alaire caudal
862;Petit foramen alaire
863;Crête ptérygoïdienne
864;Fosse scaphoïde
865;Canal ptérygoïdien
866;Sillon du nerf du canal ptérygoïdien
867;Sinus sphénoïdal
868;Septum des sinus sphénoïdaux
869;Corps du présphénoïde
870;Jugum sphénoïdal
871;Sillon chiasmatique
872;Crête sphénoïdale
873;Rostre sphénoïdal
874;Aile du présphénoïde
875;Crête sphéno-orbitaire
876;Canal optique
877;Processus clinoïde rostral
878;Ouverture du sinus sphénoïdal
879;Os ptérygoïdien
880;Incisure ptérygoïdienne (su, ov, cap)
881;Fosse ptérygoïdienne
882;Crochet ptérygoïdien
883;Sillon du crochet ptérygoïdien
884;Os temporal
885;Partie pétreuse
886;Face occipitale
887;Processus mastoïde
888;Sillon pour l'artère méningée caudale
889;Canal du nerf facial
890;Genou du canal du nerf facial
891;Canalicule de la corde du tympan
892;Apex de la partie pétreuse
893;Face rostrale de la partie pétreuse
894;Tegmen tympani
895;Canal du nerf grand pétreux
896;Canal du nerf petit pétreux
897;Empreinte trigéminale
898;Canal du nerf trijumeau
899;Crête pétreuse
900;Sillon du sinus pétreux dorsal
901;Surface médiale de la partie pétreuse
902;Pore acoustique interne
903;Méat acoustique interne
904;Fosse cérébelleuse
905;Fosse subarquée
906;Aqueduc du vestibule
907;Ouverture externe de l'aqueduc du vestibule
908;Bord ventral de la partie pétreuse
908;Incisure jugulaire (Os temporal)
909;Canalicule cochléaire
910;Ouverture externe du canal cochléaire
911;Face ventrale de la partie pétreuse
912;Canalicule mastoïdien
913;Processus styloïde de l'os temporal
914;Foramen stylomastoïdien
915;Canalicule tympanique
916;Fossette pétreuse
917;Cavité tympanique
918;Fissure pétrotympanique
919;Fissure pétrosquameuse
920;Fissure tympanomastoïdienne
921;Fissure tympanosquameuse
922;Partie tympanique
923;Anneau tympanique
924;Sillon tympanique
925;Méat acoustique externe osseux
926;Pore acoustique externe
927;Gaine du processus styloïde
927;Processus musculaire de l'os temporal
927;Bulle tympanique
927;Septum de la bulle tympanique
928;Canal carotidien
929;Canalicules caroticotympaniques
930;Canal musculotubaire
931;Semicanal du muscle tenseur du tympan
932;Semicanal de la trompe auditive
933;Septum du canal musculotubaire
934;Partie endotympanique
935;Bulle tympanique (Partie endotympanique)
936;Septum de la bulle tympanique (Partie endotympanique)
937;Partie squameuse de l’os temporal
938;Bord pariétal de l'os temporal
939;Processus occipital
940;Bord frontal
941;Bord sphénoïdal
942;Face temporale
943;Crête supramastoïdienne
944;Processus zygomatique de l'os temporal
945;Fosse mandibulaire
946;Surface articulaire de la fosse mandibulaire
947;Tubercule articulaire
948;Processus rétro-articulaire
949;Foramen rétro-articulaire
950;Incisure tympanique
951;Processus rétrotympanique
952;Face cérébrale
953;Crête tentorique
954;Sinus frontal caudal
955;Os pariétal
956;Face interne de l'os pariétal
957;(Crête sagittale interne)
958;Processus tentoriel (Os pariétal)
959;Face externe de l'os pariétal
960;Crête sagittale externe de l'os pariétal
961;Ligne temporale de l’os pariétal
962;Tubérosité pariétale
963;Bord occipital
964;Bord squameux
965;Bord sagittal de l'os pariétal
966;Bord interpariétal
967;Bord frontal de l'os pariétal
968;Angle frontal
969;Angle occipital
970;Angle sphénoïdal
971;Angle mastoïdien
972;Plan pariétal
973;Plan temporal
974;Plan nuchal
975;Sillon du sinus sagittal dorsal (Os pariétal)
976;Sinus frontal caudal (Os pariétal)
977;Septum des sinus frontaux (Os pariétal)
978;Os frontal
979;Ecaille de l'os frontal
980;Face externe de l'écaille de l'os frontal
981;Tubérosité frontale
982;Arcade sourcilière
983;Bord supra-orbitaire de l'os frontal
984;Foramen supra-orbitaire
985;Incisure supra-orbitaire
986;Canal supra-orbitaire
986;Sillon supra-orbitaire (Os frontal)
987;Face temporale de l'os frontal
988;Ligne temporale (Os frontal)
989;Crête orbitotemporale
990;Processus zygomatique de l'os frontal
991;Fosse de la glande lacrymale
992;Face interne de l'os frontal
993;Crête frontale
994;Sillon du sinus longitudinal dorsal (Os frontal)
995;Bord ethmoïdal
996;Partie nasale de l'os frontal
997;Bord nasal de l'os frontal
998;Partie orbitaire de l'os frontal
999;Face orbitaire de l'os frontal
1000;Fossette trochléaire
1001;Foramen ethmoïdal
1002;Foramens ethmoïdaux
1003;Crête orbitaire ventrale
1004;Incisure ethmoïdale
1005;Incisure sphénoïdale
1006;Incisure supra-orbitaire caudale (or)
1007;Incisure supra-orbitaire rostrale (or)
1008;Processus cornual
1009;Couronne du processus cornual
1010;Col du processus cornual
1011;Bord pariétal de l'os frontal
1012;Bord sagittal
1013;Sinus frontal
1014;Sinus frontaux
1015;Ouverture du sinus frontal
1016;Septa du sinus frontal
1017;Processus septal
1018;Os ethmoïde
1019;Lame criblée
1020;Crista galli
1021;Lame perpendiculaire de l'os ethmoide
1022;Labyrinthe ethmoïdal
1023;Volute ethmoïdale
1024;Volute ethmoïdale ectoturbinale
1024;Première volute ethmoïdale ectoturbinale
1024;Deuxième volute ethmoïdale ectoturbinale
1024;Troisième volute ethmoïdale ectoturbinale
1024;Quatrième volute ethmoïdale ectoturbinale
1024;Cinquième volute ethmoïdale ectoturbinale
1024;Sixième volute ethmoïdale ectoturbinale
1025;Volute ethmoïdale endoturbinale
1025;Première volute ethmoïdale endoturbinale
1025;Deuxième volute ethmoïdale endoturbinale
1025;Troisième volute ethmoïdale endoturbinale
1025;Quatrième volute ethmoïdale endoturbinale
1026;Cellules ethmoïdales
1027;Méat ethmoïdal
1028;Lame orbitaire
1029;Foramen ethmoïdal de l'os ethmoïdal
1030;Lame tectale
1031;Lame basale de l'os ethmoïdal
1032;Cornet nasal dorsal (Os ethmoïde)
1033;Processus unciné
1034;Cornet nasal moyen
1035;Vomer
1036;Sillon du vomer
1037;Crête du vomer
1038;Aile du vomer
1039;Os de la face
1040;Os nasal
1041;Face externe de l'os nasal
1042;Sillon supra-orbitaire (Os nasal)
1043;Surface interne de l'os nasal
1044;Processus septal de l'os nasal
1045;Crête ethmoïdale (Os nasal)
1046;(Sinus frontal)
1047;Os lacrymal
1048;Face orbitaire de l'os lacrymal
1049;Surace faciale de l'os lacrymal
1050;Face nasale de l'os lacrymal
1051;Incisure infratrochléaire
1052;Processus frontal
1053;Processus lacrymal caudal
1054;Processus lacrymal rostral
1055;Fosse lacrymale externe
1056;Fosse du sac lacrymal (Os lacrymal)
1057;Foramen lacrymal
1058;Foramens lacrymaux (su)
1059;Canal lacrymal de l'os lacrymal
1060;Fosse pour le muscle oblique ventral
1061;Bulle lacrymale
1062;Sinus maxillaire (Ru)
1063;Sinus lacrymal (bo)
1064;(Sinus lacrymal) (su, ov, cap)
1065;Ouverture du sinus lacrymal
1066;(Sinus frontal rostral latéral) (su)
1067;(Sinus frontal latéral) (ov, cap)
1068;Sinus maxillaire caudal (eq)
1069;Os maxillaire
1070;Corps du maxillaire
1071;Face orbitaire maxillaire
1072;Surface faciale du maxillaire
1073;Crête faciale
1074;Tubérosité faciale (Os maxillaire)
1075;Foramen infra-orbitaire
1076;Canal infra-orbitaire
1077;Canal alvéolaire
1078;Fosse canine
1079;Juga alvéolaires du maxillaire
1080;Face ptérygopalatine
1081;Foramens alvéolaires
1082;Canaux alvéolaires
1083;Tubérosité maxillaire
1084;Foramen maxillaire
1085;Face nasale de l'os maxillaire
1086;Sillon lacrymal du maxillaire
1087;Canal lacrymal
1088;Crête conchale du maxillaire
1089;Hiatus maxillaire
1090;Sillon palatin majeur (Os Maxillaire)
1091;Sinus maxillaire
1092;Sinus maxillaire rostral
1093;Sinus maxillaire caudal
1094;Septum des sinus maxillaires
1095;Processus frontal (Car)
1096;Crête ethmoïdale (Os maxillaire)
1097;Processus zygomatique du maxillaire
1098;Processus palatin du maxillaire
1099;Crête nasale (Os maxillaire)
1100;Sillon palatin
1101;Foramen palatin majeur (Os maxillaire)
1102;Sinus palatin (Os maxillaire)
1103;Septum du sinus palatin (Os maxillaire)
1104;Processus alvéolaire
1105;Bord alvéolaire
1106;Bord interalvéolaire
1107;Alvéoles dentaires (Os maxillaire)
1108;Septa interalvéolaires (Os maxillaire)
1109;Septa interradiculaires (Os maxillaire)
1110;Cornet nasal ventral
1111;Os incisif
1112;Corps de l'os incisif
1113;Face labiale
1114;Face palatine de l'os incisif
1115;Processus alvéolaire de l'os incisif
1116;Arc alvéolaire
1117;Alvéoles dentaires (Os incisif)
1118;Septa interalvéolaires (Os incisif)
1119;Bord interalvéolaire (Os incisif)
1120;Juga alvéolaires (Os incisif)
1121;Processus palatin de l'os incisif
1122;Processus nasal
1123;Os rostral
1124;Os palatin
1125;Lame perpendiculaire du palatin
1126;Face nasale de la lame perpendiculaire
1127;Face maxillaire de l'os palatin
1128;Incisure sphénopalatine
1129;Foramen sphénopalatin
1130;Sillon palatin majeur (Os palatin)
1131;Canal palatin majeur
1132;Processus pyramidal
1133;Crête ethmoïdale (Os palatin)
1134;Lame sphéno-ethmoïdale
1135;Processus orbitaire
1136;Processus sphénoïdal
1137;(Sinus sphénoïdal)
1138;Lame horizontale de l'os palatin
1139;Face nasale
1140;Face palatine
1141;Bord libre de l'os palatin
1142;Épine nasale caudale
1143;Canaux petits palatins
1143;Foramen palatin majeur (Os palatin)
1144;Foramens petits palatins
1145;Crête nasale (Os palatin)
1146;(Crête palatine)
1146;Sinus palatin (Os palatin)
1146;Septum du sinus palatin (Os palatin)
1147;Os zygomatique
1148;Face latérale de l'os zygomatique
1149;Face orbitaire de l'os zygomatique
1150;Processus temporal
1151;Processus frontal de l'os zygomatique
1152;Bord infra-orbitaire (Os zygomatique)
1153;Crête faciale (Os zygomatique)
1154;Sinus maxillaire (Os zygomatique)
1155;Sinus maxillaire caudal (Os zygomatique)
1156;Os accessoires du crâne
1156;Os extracrâniens de la tête
1156;Mandibule
1157;Corps de la mandibule
1158;Partie incisive
1159;Arc alvéolaire de la mandibule
1160;Canaux alvéolaires mandibulaires
1161;Partie molaire de la mandibule
1162;Bord alvéolaire de la mandibule
1163;Bord ventral de la mandibule
1164;Incisure des vaisseaux faciaux
1165;Foramen mentonnier
1166;Foramens mentonniers
1167;Foramens mentonniers latéraux
1168;Foramen mentonnier médial
1169;Face labiale de la mandibule
1170;Face buccale de la mandibule
1171;Face linguale de la mandibule
1172;Ligne mylohyoïdienne
1173;Alvéoles dentaires de la mandibule
1174;Septa interalvéolaires de la mandibule
1175;Septa interradiculaires de la mandibule
